"","id","ulke","oran","Hareketlilik"
"1","11111111","ulkeismi",0,"Bilinmiyor"
"2","2yifjzfwoDQHO0x4dM44RP","Top 50 Belgium",66.663,"Az Hareketli"
"3","1JXiGdoMMNhNmJCFhtBSf8","Top 50 Czech Republic",59.958,"Hareketsiz"
"4","3bZIPyJ1rBQGgMCaulEJvd","Top 50 Denmark",61.481,"Hareketsiz"
"5","5QVmQWZG93jAyDPHOfDiIM","Spotify Top 50 Estonia",59.197,"Hareketsiz"
"6","5K3K1RToDI5hZUXiS5BYFd","Spotify Top 50 Finland",63.977,"Az Hareketli"
"7","23psvx6vUY6pmJHxE5yagM","Top 50 France",69.315,"Cok Hareketli"
"8","6HiZDoQlmYliE3RhFm4Fek","Top 50 Germany",91.959,"Cok Hareketli"
"9","6IsASQ8NFgZMPdpUYJ7xZ8","Top 50 Greece",63.068,"Az Hareketli"
"10","2hhBY8O3h8hL5MzTQmlWZs","Top 50 Iceland",64.948,"Az Hareketli"
"11","3t8srEYVVgNI2b1Jx8MREC","Top 50 Ireland",63,"Az Hareketli"
"12","4XQ0e2fT5PASVeSUdfnveU","Top 50 Italy",71.683,"Cok Hareketli"
"13","1LG0LZpDLpp1AAV5oGROsE","Top 50 Latvia",63.781,"Az Hareketli"
"14","0Npd09YvUmacwKLKJ4LsIT","Top 50 Lithuania",65.446,"Az Hareketli"
"15","1eqwvQHRiCFC9926nfh2d8","Top 50 Netherlands",77.031,"Cok Hareketli"
"16","6d5qeOdgVi0Lm6t4wvwM2I","Top 50 Norway",55.469,"Hareketsiz"
"17","6IKdWr9knWy7cUsXftgfGZ","Top 50 Poland",65.997,"Az Hareketli"
"18","6FD2g7R1tezpU8QnhJ3FsX","Top 50 Portugal",69.165,"Az Hareketli"
"19","6WrpeNyqtoq6PEDXyuamGt","Top 50 Slovakia",62.912,"Az Hareketli"
"20","1vc0RKeYOU1wFt3cVd9TkO","Top 50 Spain",69.526,"Cok Hareketli"
"21","32g1QdVZbo696md2nCP6kF","Top 50 Sweden",52.7446,"Hareketsiz"
"22","7wQcQdErtJp448tBWfM8Wi","Top 50 Switzerland",65.816,"Az Hareketli"
"23","0rkeWiJ7L3BRuXDWqmgZSZ","Top 50 Turkey",70.556,"Cok Hareketli"
