"""id"",""danceability"",""energy"",""key"",""loudness"",""mode"",""speechiness"",""acousticness"",""instrumentalness"",""liveness"",""valence"",""tempo"",""duration_ms"",""time_signature"",""Y۱l"",""Enerjisi"""
"1,""40cm17cgW3Ffkr2SmHNMeb"",0.542,0.533,5,-7.136,1,0.0323,0.361,0,0.124,0.225,88.042,179996,4,2018,""Low Enerjic"""
"2,""1qV7UjV9nmLEMnKZoUSrD1"",0.52,0.734,5,-6.279,0,0.036,0.0626,1.17e-05,0.138,0.471,129.941,178412,4,2018,""Low Enerjic"""
"3,""7dzV2cPLsWQ8BvXho1Pzn6"",0.78,0.608,5,-5.963,0,0.0443,0.0138,0,0.106,0.633,107.012,174696,4,2018,""Low Enerjic"""
"4,""1ftipPQVdQTDSqiPk79q6m"",0.315,0.569,9,-8.477,1,0.0559,0.169,5.37e-05,0.0744,0.171,146.08,399000,4,2018,""Low Enerjic"""
"5,""2KcRQQPvsPTlxrUEUCvrOf"",0.512,0.869,9,-3.268,0,0.0902,0.144,4e-06,0.113,0.532,101.716,245710,4,2018,""High Energic"""
"6,""0vdrd5UbWbO2LmhxUUt02r"",0.767,0.841,1,-3.939,1,0.0334,0.016,0.134,0.053,0.533,114.013,149285,4,2018,""Energic"""
"7,""3Mp0XNfNqor28A0TnbGXsX"",0.823,0.447,1,-7.548,1,0.0721,0.0862,0,0.0679,0.833,126.024,192857,4,2018,""Low Enerjic"""
"8,""2YBfE8dOGsNxZkMTgmM0l4"",0.538,0.588,2,-8.306,1,0.0338,0.359,5.2e-05,0.269,0.275,169.823,202235,4,2018,""Low Enerjic"""
"9,""33XCmHpWcIEeSNBgEDi4Mx"",0.695,0.58,2,-6.089,0,0.0275,0.38,0,0.0882,0.447,115.997,225252,4,2018,""Low Enerjic"""
"10,""2MxsoqrvownXSb8YtOOeYA"",0.391,0.323,7,-8.798,0,0.0842,0.922,0,0.151,0.242,172.83,202224,4,2018,""Low Enerjic"""
"11,""1RFY3NtNBkGQ8grHIEwnoC"",0.73,0.804,0,-5.609,1,0.252,0.204,0,0.129,0.495,99.935,194472,4,2018,""Energic"""
"12,""6eThtk3BSoZA8iFWGSrVlS"",0.531,0.461,7,-10.427,0,0.028,0.851,0.00772,0.103,0.28,102.716,219728,4,2018,""Low Enerjic"""
"13,""0sl8yoG3WdZQIrlaZVs3Dd"",0.344,0.498,5,-7.597,0,0.0437,0.0246,2.45e-05,0.127,0.349,177.795,251960,3,2018,""Low Enerjic"""
"14,""7ME79Wnl0N74NPVw4Nf2Wy"",0.753,0.559,11,-8.667,0,0.0382,0.166,0.0027,0.139,0.485,119.976,211136,4,2018,""Low Enerjic"""
"15,""6cAKeFFYW2aClZSUyvqAEW"",0.433,0.745,8,-4.632,1,0.0377,0.221,0,0.0981,0.588,95.472,193447,4,2018,""Low Enerjic"""
